,City,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,mahebourg,40,MU,77,-20.41,57.7,69.8,6.93
1,poum,0,NC,57,-20.23,164.02,70.48,12.24
2,provideniya,90,RU,76,64.38,-173.3,55.4,4.47
3,albany,100,US,80,42.6,-73.97,70.0,10.89
4,ushuaia,0,AR,74,-54.8,-68.3,28.4,4.7
5,fortuna,90,US,87,40.6,-124.16,64.99,11.41
6,narsaq,28,GL,35,60.92,-46.05,55.4,8.05
7,busselton,70,AU,97,-33.65,115.33,51.01,17.65
8,tasiilaq,1,GL,65,65.61,-37.64,44.6,12.75
9,kaitangata,16,NZ,56,-46.28,169.85,46.99,11.01
10,salalah,75,OM,88,17.02,54.09,82.4,4.7
11,sakakah,0,SA,15,29.97,40.21,86.0,5.82
12,yerbogachen,99,RU,73,61.28,108.01,55.58,10.0
13,arraial do cabo,0,BR,77,-22.84,-46.65,64.4,10.29
14,borogontsy,0,RU,35,62.67,131.17,84.88,5.57
15,sitka,90,US,77,57.05,-135.33,59.0,9.17
16,gobabis,0,NA,64,-22.45,18.97,35.6,12.8
17,cape town,20,CL,100,-36.41,-71.9,55.0,8.05
18,tiksi,99,RU,81,71.69,128.87,39.49,23.42
19,vaini,75,TO,78,-21.2,-175.2,78.8,8.05
20,new norfolk,100,LR,86,6.65,-10.59,71.69,1.77
21,saint-pierre,75,RE,88,-21.34,55.48,64.4,5.82
22,aksha,11,RU,52,50.28,113.29,62.67,15.12
23,rikitea,100,PF,81,-23.12,-134.97,73.69,6.13
24,bintulu,40,MY,83,3.17,113.03,84.2,1.12
25,cardston,75,CA,64,49.2,-113.3,73.99,5.82
26,nikolskoye,100,RU,87,59.7,30.79,57.0,2.24
27,cherskiy,0,RU,44,68.75,161.3,57.87,8.86
28,hermanus,0,ZA,88,-34.42,19.23,44.01,1.01
29,panjab,0,AF,58,34.39,67.02,55.71,3.15
30,port lincoln,43,CD,53,-7.03,29.76,64.63,3.69
31,hithadhoo,92,MV,72,-0.6,73.08,84.2,9.28
32,bluff,33,NZ,83,-46.6,168.33,39.0,3.0
33,waterloo,1,CA,94,43.47,-80.52,72.0,3.36
34,bethel,1,US,72,41.37,-73.41,66.2,3.36
35,alta floresta,100,NO,82,69.97,23.27,57.2,6.93
36,punta arenas,38,PH,59,8.99,125.34,87.19,0.96
37,pevek,100,RU,98,69.7,170.31,38.79,3.38
38,katsuura,75,JP,94,35.13,140.3,69.8,5.82
39,jamestown,90,US,94,42.1,-79.24,73.0,4.7
40,east london,75,IS,76,65.0,-15.0,50.0,10.29
41,carnarvon,90,AU,100,-24.87,113.63,64.4,17.22
42,ormara,100,PK,83,25.21,64.64,85.53,11.05
43,ico,0,BR,70,-6.4,-38.86,74.37,7.96
44,prince albert,1,CA,73,52.97,-108.38,69.8,8.05
45,mechetinskaya,100,RU,50,46.77,40.46,71.26,11.36
46,nome,90,US,67,64.5,-165.41,60.8,11.41
47,khorixas,0,NA,40,-20.37,14.97,54.63,22.5
48,port macquarie,43,CD,53,-7.03,29.76,64.63,3.69
49,puyang,69,CN,69,29.46,119.89,86.86,3.87
50,half moon bay,100,LR,78,6.38,-10.7,74.68,4.45
51,port-cartier,75,CA,63,50.03,-66.87,63.0,6.93
52,kiama,42,AU,66,-34.68,150.87,61.0,5.99
53,dubbo,0,AU,62,-32.25,148.62,55.4,8.05
54,pisco,90,PE,82,-13.7,-76.22,60.8,11.41
55,bengkulu,15,ID,78,-3.8,102.27,81.05,4.72
56,yellowknife,75,CA,48,62.46,-114.35,66.2,3.36
57,hilo,90,US,66,19.73,-155.09,84.2,10.29
58,labytnangi,13,RU,70,66.66,66.42,53.49,8.79
59,takoradi,46,GH,90,4.88,-1.76,73.87,9.1
60,isoka,1,ZM,83,-10.16,32.63,48.74,11.3
61,manjo,100,CM,95,4.84,9.82,68.74,2.37
62,bambous virieux,40,MU,77,-20.26,57.41,69.8,6.93
63,puerto ayora,0,ES,41,36.59,-6.23,78.8,13.87
64,bredasdorp,0,ZA,87,-34.53,20.04,44.6,6.93
65,viedma,100,AR,94,-40.81,-63.0,44.01,4.63
66,iqaluit,75,CA,76,63.75,-68.51,50.0,3.36
67,barrow,90,US,74,71.29,-156.79,35.6,13.87
68,necochea,39,AR,86,-38.55,-58.74,39.99,4.0
69,saskylakh,100,RU,68,71.92,114.08,49.77,16.55
70,teya,89,RU,79,60.38,92.63,53.28,12.17
71,vynohradivka,57,UA,82,45.68,28.57,61.0,2.24
